user_id,payment_ratio,overlimit_percentage,payment_ratio_3month,payment_ratio_6month,delinquency_score,years_since_card_issuing,total_usage,remaining_bill_per_number_of_cards,remaining_bill_per_limit,total_usage_per_limit,total_3mo_usage_per_limit,total_6mo_usage_per_limit,utilization_3month,utilization_6month
1,102.19,0,74.78,100,0,15.41666667,94,13161.5,0.003760429,1.34E-05,0.01171875,0.017809524,0.013228036,0.021949333
2,0,0,0,0,,0.75,1012,0,0,0.0001012,0,0,0.004231625,3.00E-04
3,100,0,100,100.91,,10.75,0,0,0,0,0.040517857,0.047703226,0.249389277,0.267852798
4,100,0,25.01,22.64,0,19.75,2536660,145333.5,0.027682571,0.120793333,0.055970595,0.016850794,0.101912107,0.346634603
5,95.99,0,97.49,99.84,,1.666666667,2666558,2975932.5,0.5951865,0.2666558,0.323027,0.131162467,0.707865025,0.336571367
6,0,0,28.46,42.03,,10.25,3690250,2306717.5,0.057667938,0.046128125,0.017184375,0.117513096,0.038963606,0.181863421
7,18.47,0,24.95,17.89,,4.666666667,230400,1657023,0.8285115,0.0576,0.01875,0.166666668,1.014775813,0.977230833
8,58.55,0,105.24,166.67,,0.75,9327612,1970267.25,0.39405345,0.4663806,0.2392893,0.241598694,0.261753338,0.22402625
9,15.24,0,0,33.33,0,5.666666667,335680,2061212.5,0.824485,0.067136,0.19604205,0,0.47002435,0
10,100,0,58.4,62.68,,8.5,0,406946.5,0.232540857,0,0.075,0.094800619,0.315145179,0.626447904
11,100,0,100,100,,14.5,31036235,0,0,0.369478988,0.164046339,0.19530254,0.396655988,0.230336444
12,100.13,0,74.99,18.52,,10.66666667,0,0,0,0,0.057634076,0,0.342642826,0.497703464
13,30.8,0,68.4,100,0,20.83333333,2878725,2247210.5,0.499380111,0.319858333,0.098427194,0.297481481,0.402411556,0.46713437
14,0,10.02,13.04,26.66,0,1,0,2466024.333,1.056867571,0,0.067480357,0.079714286,1.039140607,0.929415857
15,17.53,23.26,29.47,24.24,,6.666666667,326100,2756589,1.181395286,0.046585714,0.250685714,0.239319047,1.163175571,1.416155476
16,0,0,65.25,100,0,2,722,0,0,0.000240667,0.016566,0,0.02255475,0.016172
17,99.9,0,75.01,74.41,,11.58333333,3101354,0,0,0.03101354,0,0.212714983,0.388039143,0.486339247
18,20.97,19.54,18.29,13.26,0,2.916666667,380000,1967589,1.1805534,0.076,0.137606,0.112229534,1.0560083,0.8936248
19,9.17,6.21,7.43,14.26,0,2.833333333,0,2655277.5,1.062111,0,0.02369,0.2685276,0.98835345,0.9642602
20,100,0,100,100,,2.75,457725,0,0,0.11443125,0.140283438,0.0415,0.13060025,0.076377
21,164.09,0,98.12,100,,12.41666667,1583400,0,0,0.1218,0.677190654,0.216974436,0.637737731,0.205422462
22,95.69,0,49.57,37.33,0,2,331790,0,0,0.110596667,0,0.292907223,0.545604083,0.508366667
23,102.21,0,100,100,0,5.416666667,8927737,4602571.5,0.511396833,0.495985389,0.261256694,0.355327704,0.460526708,0.351830907
24,10.51,12.75,7.49,12.2,0,0.916666667,0,11221345,1.1221345,0,0.099496988,0.111728184,1.153388363,1.131109884
25,0,0,0,0,,2.25,9653,0,0,0.00048265,0.000478325,0,0.002669388,0
26,100,0,76.11,74.5,0,2.583333333,1305074,0,0,0.2610148,0.16825915,0.184507,0.25309175,0.116644534
27,29.68,0,12.29,14.46,0,12.75,0,3802787,0.496015696,0,0.044881717,0.036325348,0.469491978,0.434387768
28,100,0,100,100,,11.75,19725000,0,0,0.263,0.1994778,0.248683804,0.358958023,0.39421804
29,100,0,50,33.33,0,3.5,4113189,0,0,0.514148625,0.158328125,0.0272335,0.140230063,0.063228584
30,0,0,10.31,9.82,,2.75,453615,4093981.5,0.909773667,0.050401667,0.0578,0.073952963,0.911498972,0.883056111
31,98.96,0,0,44.18,0,1.583333333,0,105969,0.070646,0,0.0741395,0.080081443,0.028452667,0
32,27.53,0,25.38,58.46,0,2.583333333,602256,1253563.333,0.752138,0.1204512,0.1292548,0.24666,0.843642,0.886495934
33,10.12,3.62,53.04,99.83,,0.916666667,3930500,10292919,1.0292919,0.196525,0.217989425,0.37957255,0.839397013,0.3786873
34,100.44,0,91.37,118.94,0,5.333333333,0,0,0,0,0.4831794,0.569841534,0.59164695,0.271449934
