user_id,number_of_cards,branch_code,default_flag
1,2,I,0
2,2,A,0
3,3,A,0
4,4,G,0
5,2,A,0
6,2,A,0
7,2,A,0
8,4,A,0
9,2,B,0
10,4,A,0
11,4,A,0
12,3,A,0
13,2,B,0
14,3,E,1
15,3,A,0
16,2,B,0
17,4,A,0
18,3,G,0
19,2,A,1
20,2,A,0
21,3,A,0
22,2,E,0
23,2,K,0
24,2,A,1
25,2,A,0
26,2,K,0
27,3,F,0
28,5,A,0
29,3,f,0
30,2,a,0
31,2,F,0
32,3,B,0
33,2,A,0
34,2,c,0
35,2,I,0
36,2,A,0
37,2,A,0
38,2,F,1
39,3,A,0
40,2,F,0
41,2,A,0
42,5,F,0
43,3,I,1
44,3,A,0
45,2,J,0
46,2,A,0
47,2,A,0
48,2,H,0
49,2,A,0
50,2,A,0
51,2,A,0
52,3,A,0
53,2,A,0
54,4,H,0
55,3,A,0
56,2,A,0
57,2,E,0
58,2,A,0
59,3,E,1
60,3,A,0
61,4,A,0
62,2,A,1
63,2,A,1
64,3,A,0
65,2,A,0
66,2,A,0
67,3,F,0
68,2,J,0
69,2,F,0
70,2,G,0
71,2,I,0
72,4,A,0
73,4,A,0
74,5,A,0
75,3,f,1
76,3,A,0
77,2,A,0
78,2,k,0
79,3,A,0
80,3,a,0
81,2,E,0
82,3,A,1
83,4,F,0
84,3,A,0
85,2,A,0
86,2,G,0
87,5,A,0
88,2,F,0
89,4,A,1
90,2,A,0
91,3,I,1
92,5,,0
93,3,F,0
94,2,B,0
95,2,J,1
96,2,F,1
97,5,A,0
98,2,F,0
99,4,A,0
100,5,A,0
101,3,A,1
102,2,A,0
103,3,A,0
104,3,A,0
105,2,A,0
106,2,B,0
107,3,I,0
108,2,G,0
109,2,G,0
110,2,A,0
111,2,I,0
112,3,A,0
113,3,E,0
114,2,A,0
115,6,E,0
116,2,A,0
117,2,A,0
118,2,H,0
119,2,A,0
120,2,A,0
121,2,F,0
122,5,A,0
123,2,H,0
124,2,E,0
125,2,H,0
126,2,A,0
127,3,D,0
128,2,A,0
129,2,B,0
130,4,A,0
131,5,D,0
132,2,A,0
133,2,A,1
134,2,G,0
135,3,H,0
136,4,B,0
137,4,A,0
138,2,F,0
139,4,E,0
140,2,E,1
141,6,A,0
142,3,A,0
143,2,A,1
144,2,A,1
145,3,B,0
146,3,A,0
147,2,A,1
148,3,F,0
149,2,F,0
150,2,I,0
151,2,A,0
152,4,G,0
153,3,A,0
154,2,A,0
155,2,A,1
156,2,H,0
157,5,I,0
158,3,A,0
159,2,B,0
160,3,a,0
161,3,a,0
162,2,a,0
163,4,A,0
164,2,f,0
165,3,G,0
166,2,F,0
167,5,A,0
168,2,A,0
169,2,B,0
170,3,F,0
171,4,A,0
172,2,A,0
173,3,A,0
174,2,A,0
175,3,A,0
176,2,E,0
177,4,A,0
178,2,F,0
179,2,A,0
180,2,A,0
181,2,A,0
182,4,c,0
183,3,A,0
184,2,A,0
185,2,e,0
186,3,b,0
187,1,b,0
188,2,b,0
189,2,A,0
190,2,A,0
191,2,a,0
192,2,a,0
193,2,a,0
194,2,e,0
195,4,a,0
196,2,a,0
197,2,a,0
198,2,A,0
199,2,A,1
200,2,A,0
201,2,A,0
202,2,B,0
203,3,A,0
204,3,J,0
205,2,J,0
206,2,I,0
207,2,A,0
208,3,A,0
209,2,E,0
210,2,A,0
211,2,A,0
212,2,B,0
213,2,B,1
214,2,A,0
215,2,B,1
216,2,a,0
217,2,i,0
218,2,j,1
219,2,A,0
220,2,F,0
221,2,B,0
222,2,K,0
223,2,A,0
224,2,C,0
225,2,I,1
226,2,C,0
227,7,A,0
228,2,A,0
229,2,F,0
230,2,A,1
231,4,B,0
232,2,A,0
233,2,D,0
234,3,A,0
235,3,A,0
236,2,I,0
237,2,B,0
238,2,F,0
239,2,F,0
240,2,B,0
241,4,H,0
242,2,A,0
243,3,A,0
244,2,A,0
245,2,A,0
246,3,A,0
247,2,A,0
248,3,I,0
249,2,A,0
250,3,I,0
251,2,A,0
252,3,G,0
253,2,F,0
254,3,G,1
255,2,A,0
256,2,A,1
257,2,A,0
258,2,A,0
259,2,A,0
260,2,A,0
261,2,A,0
262,3,J,0
263,3,F,0
264,3,B,0
265,4,A,0
266,2,D,0
267,2,A,0
268,3,A,0
269,2,I,0
270,2,I,0
271,4,K,0
272,2,A,0
273,2,B,0
274,2,A,0
275,1,B,1
276,3,A,0
277,2,A,0
278,2,F,0
279,3,A,0
280,2,G,0
281,4,A,0
282,2,E,1
283,2,A,0
284,2,A,0
285,2,B,0
286,2,A,0
287,2,A,0
288,2,A,0
289,3,A,0
290,3,A,0
291,2,G,0
292,3,A,0
293,2,A,0
294,2,B,0
295,2,A,0
296,2,A,0
297,2,A,0
298,2,A,0
299,3,B,0
300,2,B,1
301,2,F,0
302,2,A,0
303,2,A,0
304,2,A,0
305,2,A,0
306,6,A,0
307,2,H,0
308,4,A,0
309,3,E,0
310,2,B,0
311,2,F,0
312,2,A,1
313,2,A,0
314,6,A,0
315,2,A,0
316,2,,0
317,2,A,0
318,4,A,0
319,2,H,0
320,2,A,0
321,2,B,0
322,5,F,0
323,3,I,0
324,2,A,0
325,2,A,0
326,2,A,0
327,2,A,0
328,2,A,0
329,2,G,0
330,2,A,0
331,4,A,0
332,2,A,0
333,2,B,0
334,3,A,0
335,3,A,0
336,3,C,0
337,3,A,0
338,4,G,0
339,2,A,0
340,3,A,0
341,2,F,0
342,2,A,0
343,2,A,0
344,2,A,0
345,2,A,0
346,2,A,0
347,2,A,0
348,2,A,0
349,2,B,0
350,2,F,0
351,2,H,0
352,2,A,0
353,3,A,0
354,2,A,0
355,3,G,0
356,2,A,0
357,2,B,1
358,4,F,0
