user_id,outstanding,credit_limit,bill,total_cash_usage,total_retail_usage,remaining_bill
1,36158,7.00E+06,23437,0,94,26323
2,268691,1.00E+07,254564,0,1012,0
3,6769149,2.80E+07,4159779,0,0,0
4,3496732,2.10E+07,111231,0,2536660,581334
5,9402085,1.00E+07,6099283,0,2666558,5951865
6,6227439,8.00E+07,2081248,0,3690250,4613435
7,3906290,4.00E+06,2043682,0,230400,3314046
8,9534837,2.00E+07,3692028,0,9327612,7881069
9,4145065,5.00E+06,4021399,0,335680,4122425
10,1818606,7.00E+06,1765911,0,0,1627786
11,55520052,8.40E+07,12626615,0,31036235,0
12,7004631,2.30E+07,610083,0,0,0
13,5664700,9.00E+06,2334602,0,2878725,4494421
14,7691430,7.00E+06,6463709,0,0,7398073
15,8640053,7.00E+06,8035169,0,326100,8269767
16,188958,3.00E+06,189816,0,722,0
17,39700203,1.00E+08,5366000,0,3101354,0
18,5959226,5.00E+06,5579255,0,380000,5902767
19,5309091,5.00E+06,5309314,0,0,5310555
20,701019,4.00E+06,306224,0,457725,0
21,13895389,1.30E+07,13552786,0,1583400,0
22,1178925,3.00E+06,879730,0,331790,0
23,13283176,1.80E+07,4917782,0,8927737,9205143
24,22533915,2.00E+07,22419126,0,0,22442690
25,87473,2.00E+07,76472,0,9653,0
26,1488988,5.00E+06,1256574,0,1305074,0
27,11652028,2.30E+07,11427308,0,0,11408361
28,34400963,7.50E+07,15919380,0,19725000,0
29,4273043,8.00E+06,253948,0,4113189,0
30,8274519,9.00E+06,8895441,0,453615,8187963
31,207543,3.00E+06,218005,0,0,211938
32,4594088,5.00E+06,3242993,0,602256,3760690
33,20677879,2.00E+07,16368603,0,3930500,20585838
34,3453946,5.00E+06,1876878,0,0,0
35,171772,3.00E+06,135352,0,0,179265
36,5400592,8.00E+06,5227386,0,0,0
37,9780823,1.20E+07,11222392,0,0,9448678
38,55083,8.00E+06,23120,0,0,0
39,21009401,2.00E+07,20861439,0,0,20779541
40,1893762,3.00E+06,210624,0,1905600,1926030
41,126948,1.20E+07,132613,0,0,0
42,2956836,3.00E+06,3615236,0,311810,2558147
43,5747546,6.00E+06,5754698,1300000,0,5757744
44,21967,5.00E+07,43448,0,0,0
45,4973709,5.00E+06,4961724,0,1542550,4920127
46,4821008,5.00E+06,4822143,0,0,4898977
47,101091439,8.90E+07,75619978,0,1029809,98145225
48,327205,5.00E+06,171818,0,226000,220896
49,3411278,6.00E+06,2512956,0,2371574,0
50,111507,5.00E+06,116930,0,0,0
51,268035,2.80E+07,247357,0,0,0
52,9066848,8.00E+07,1583655,0,501640,0
53,8455504,5.90E+07,2444783,0,5722000,0
54,1845697,7.00E+06,1846366,0,7125,1901297
55,25205710,3.00E+07,15305099,0,450000,26562496
56,4280389,1.00E+07,2212663,0,2.00E+06,0
57,22657337,2.00E+07,4773869,0,22198709,22651335
58,5963376,7.00E+06,5992516,0,0,0
59,37951360,4.00E+07,21456475,0,11487871,22948029
60,10253092,8.00E+06,10271226,0,0,10032277
61,1486074,8.00E+06,1357500,0,0,1950412
62,3717733,5.00E+06,3724588,0,0,3647207
63,15362171,1.30E+07,15636016,0,52000,15449105
64,4327068,7.00E+06,3311700,0,3228794,4750114
65,7914612,1.30E+07,6101313,0,1682000,7297467
66,324553,5.00E+06,305193,0,71000,290873
67,3217728,3.00E+06,1808873,9.00E+05,525595,820607
68,6683524,7.00E+06,6528071,0,0,6694891
69,3064732,3.00E+06,159471,0,3083800,3074276
70,3731808,5.00E+06,1001443,0,3685500,0
71,5922263,6.00E+06,4364666,0,1082509,0
72,2179039,2.00E+07,2166774,0,1333540,2653632
73,7821818,7.00E+06,8231678,0,454996,7883797
74,34400963,1.50E+07,30562880,1250000,0,32788863
75,3409834,3.00E+06,3424633,0,0,3342896
76,10788784,7.00E+06,8491049,7.00E+05,1106768,10142774
77,2984329,8.00E+06,2658410,0,706305,2985347
78,1783339,3.00E+06,1550000,0,241200,0
79,2763327,3.00E+06,3075752,0,0,2763937
80,17228771,2.00E+07,11778013,0,5693659,16697995
81,2615761,3.00E+06,2631648,0,180000,2647285
82,85136,8.00E+07,80851,0,0,114060
83,28500813,2.50E+07,13851647,0,0,26958099
84,5326730,2.50E+07,2909294,0,2017956,4657138
85,67956,8.00E+07,68098,0,0,0
86,98432,2.00E+07,65988,0,343,0
87,17650302,2.10E+07,12294525,0,4918000,12723213
88,2808150,3.00E+06,2625524,0,-3888,2803331
89,74746853,6.60E+07,63777396,0,0,75220201
90,9659895,8.00E+06,9656368,0,0,9656999
91,39813102,6.60E+07,39459200,0,0,39294851
92,5972272,6.00E+06,5068230,0,0,5206434
93,60718305,6.20E+07,11808873,0,32659384,37940368
94,2519279,3.00E+06,3475516,0,88349,2335668
95,3455911,3.00E+06,3454644,,0,3380076
96,2147830,5.00E+06,2078518,0,0,2142710
97,45178939,5.00E+07,4469305,0,16860354,0
98,1091014,5.00E+06,519616,0,686247,0
99,4227539,6.20E+07,480667,0,0,0
100,8409156,1.00E+07,9253239,0,455900,8434377
101,42080121,3.90E+07,38750329,0,5581172,42337498
102,49523698,5.20E+07,25619524,0,7052415,54199747
103,10474901,4.10E+07,10404990,0,2311500,14035025
104,27587920,2.70E+07,24053465,0,0,31012184
105,3531340,4.00E+06,3426618,0,0,3473377
106,2033685,3.00E+06,2043509,0,296258,1983970
107,4989426,9.00E+06,2724157,0,1335000,4668988
108,3040856,3.00E+06,1007760,7.00E+05,998212,3043442
109,1347096,5.00E+06,226518,0,0,0
110,5808009,6.00E+06,4651087,0,1462713,0
111,3455092,3.00E+06,3356415,0,0,0
112,10549114,3.90E+07,4577088,0,4371200,0
113,4783002,5.60E+07,1414650,0,3027820,0
114,9838483,9.00E+06,9853124,0,0,9824034
115,5690132,5.00E+06,5045055,0,0,5894521
116,5178561,6.00E+06,4740303,0,527496,4923205
117,2883560,3.00E+06,2795521,0,50000,2888880
118,1992908,5.00E+06,1939117,0,0,1847027
119,2925674,4.00E+06,2392610,0,307265,0
120,1104160,7.00E+06,880675,0,267249,0
121,7979852,8.00E+06,668058,0,6848745,7652253
122,16912188,6.80E+07,5082567,0,4226553,10807711
123,2914252,3.00E+06,2438990,0,60855,2960061
124,8837846,9.00E+06,8337756,0,0,8455065
125,14602257,1.50E+07,9534487,0,4654956,12559437
126,19756060,1.80E+07,19628371,0,0,19822317
127,1721164,4.80E+07,1693845,0,0,1746014
128,82447,5.00E+06,68000,0,0,71247
129,3916816,5.00E+06,1468958,0,0,3906290
130,9384116,5.70E+07,8450471,0,789870,9513223
131,20205339,2.50E+07,15495245,0,2542175,21068402
132,5507953,5.00E+06,4804712,5.00E+05,0,5503853
133,49436461,4.80E+07,24704149,0,1.00E+05,44146980
134,2165863,3.00E+06,1208292,0,1284600,2368301
135,5184680,6.00E+06,5051350,0,0,0
136,23719,5.80E+07,45155,0,0,21671
137,40694972,3.60E+07,37754972,0,89000,0
138,9095266,1.00E+07,2653726,0,663470,9040157
139,5113059,5.00E+06,5113552,0,0,4549603
140,23649,3.00E+07,32909,0,0,57297
141,40466328,5.10E+07,41970110,0,1203059,40251125
142,13754728,7.80E+07,4640666,0,0,3829500
143,3690227,5.00E+06,3574722,0,0,3682624
144,3264378,9.00E+06,3228560,0,0,3229179
145,16520956,1.60E+07,6271439,0,68000,15893506
146,1721164,2.80E+07,399218,0,1590000,0
147,65628,8.00E+07,97666,0,0,0
148,8220993,7.00E+06,8221553,0,28000,8284794
149,6282600,6.00E+06,4954199,0,0,4882959
150,4725195,5.00E+06,4145549,0,1533186,4704137
151,3138502,1.30E+07,3126000,0,0,3194687
152,1892993,7.00E+06,1238351,0,1090760,62361
153,44872441,7.10E+07,29202987,0,321198,35989542
154,1825244,4.00E+06,1770165,0,0,1827110
155,5356229,5.00E+06,5373285,0,20000,5366278
156,7739394,7.00E+06,9245608,0,20000,7413880
157,102866548,8.40E+07,20503689,0,11050908,103406965
158,61631766,5.60E+07,74605410,0,0,73132564
159,3914673,5.00E+06,3595707,0,281998,3897136
160,3941435,6.00E+06,1733129,0,2585900,829240
161,39330233,5.00E+07,19123532,0,15655452,47627500
162,8055406,2.00E+07,4902961,0,2499061,3965760
163,1799869,3.00E+06,348968,0,0,1433336
164,222457,8.70E+07,143819,0,127001,263341
165,16541731,2.50E+07,6243298,0,3516000,0
166,3074211,3.00E+06,2976884,0,0,2859709
167,86933052,8.90E+07,91538961,0,0,90538961
168,2869091,3.00E+06,2866000,0,0,2826313
169,5027089,5.00E+06,833333,9.00E+05,538002,5835177
170,3217728,3.00E+06,3087900,0,12000,0
171,9626093,6.20E+07,8450471,0,0,7785116
172,136453,7.00E+06,88286,0,515,0
173,55059905,8.00E+07,28156726,0,26652913,54768947
174,4950056,5.00E+06,4091587,8.00E+05,252665,4798385
175,37829960,6.60E+07,36423111,0,0,37459859
176,3163334,7.00E+06,2161511,0,1352164,2550860
177,104823901,9.70E+07,108385069,0,2398100,103575120
178,3293494,5.00E+06,3289210,0,0,0
179,6581913,2.20E+07,2609238,0,3963100,0
180,4810069,2.00E+07,1752566,0,3080001,5021821
181,2665809,4.00E+06,103104,0,210900,2250003
182,6466172,4.30E+07,3459363,0,671000,0
183,10385867,4.50E+07,4505175,0,2152839,0
184,449167,3.80E+07,182329,0,378934,0
185,2555490,3.00E+06,987358,0,9937,0
186,13765291,3.50E+07,12041352,0,0,10790302
187,3536430,5.00E+06,3562811,0,0,2751121
188,10655619,1.00E+07,5808204,0,4559800,0
189,2645185,3.00E+06,2400077,0,0,2627322
190,14599203,2.00E+07,13201701,0,1233539,13873200
191,6029687,9.00E+06,1248498,0,0,0
192,3766364,4.00E+06,1582695,0,459428,2030088
193,3780272,1.00E+07,321422,0,3341480,3629940
194,2746823,3.00E+06,2673135,0,90570,2717412
195,3034065,3.00E+06,2175496,1.00E+05,9040,3124195
196,5105222,5.00E+06,4899099,0,0,0
197,4216107,1.00E+07,902009,0,0,1159292
198,1035320,5.00E+06,753179,0,214900,1029213
199,50679483,4.60E+07,50119889,0,1.00E+05,48660503
200,3472763,4.00E+06,2611156,0,12000,3514732
201,2628046,9.00E+06,1867173,0,460485,0
202,2669811,3.00E+06,2654314,0,0,2661098
203,86338631,9.10E+07,32679806,0,41236899,0
204,17051931,2.00E+07,17042644,0,260000,16937278
205,13418919,2.40E+07,13412572,0,0,13514731
206,628681,3.00E+06,630502,0,0,0
207,5630588,5.00E+06,5355400,0,937600,5492170
208,16710336,4.30E+07,6335150,0,4470646,1875000
209,135671,7.00E+06,68567,0,72000,0
210,2405199,3.00E+06,1963654,0,0,2383145
211,1371136,8.00E+06,1059473,0,410000,0
212,2698164,3.00E+06,2692164,0,10950,2692164
213,84839,4.00E+06,58192,0,0,23393
214,639250,9.00E+06,636591,0,671200,0
215,31118,3.00E+06,52281,0,255,0
216,679344,3.00E+06,330559,0,405680,615584
217,2516577,3.00E+06,2444000,0,0,2473317
218,127577,7.00E+06,121735,,0,0
219,4356681,1.00E+07,746361,0,596550,0
220,4240867,5.00E+06,290289,0,2563200,0
221,1518696,3.00E+06,997980,0,494900,0
222,8965996,1.00E+07,6295617,0,0,2220018
223,193686,5.00E+06,135540,0,40521,173627
224,3334140,4.00E+06,938833,0,1631900,0
225,12320310,1.00E+07,12188215,0,0,12420072
226,2807973,3.00E+06,2625524,95000,0,0
227,29666384,4.90E+07,21414861,0,4836844,18530680
228,10536933,1.30E+07,7509944,0,2948650,9568804
229,2449640,6.00E+06,2433580,0,1733383,0
230,19367133,1.90E+07,16566512,0,0,18218528
231,33219690,8.70E+07,26162386,0,4368400,25802498
232,1602248,7.00E+06,208250,0,1490766,90325
233,7318327,8.00E+06,607215,0,3475733,5427428
234,27582139,2.70E+07,13851647,0,7678899,26013658
235,12344788,2.00E+07,9457721,0,3735295,12277807
236,6794870,7.00E+06,7088369,0,320000,6899502
237,630000,5.00E+06,612048,0,71433,614251
238,4071082,3.00E+06,3948911,0,1210000,0
239,2657379,3.00E+06,2553497,0,0,2605696
240,572472,3.00E+06,285000,0,282150,0
241,55068931,4.80E+07,52919259,0,4662308,54873018
242,4031720,8.00E+06,2208917,0,5835120,2922151
243,16867508,8.70E+07,8057121,0,9474712,0
244,13121852,1.40E+07,13163415,0,0,13204411
245,2436251,3.00E+06,1387283,0,799200,2436228
246,14729148,1.30E+07,14705412,0,820000,14539428
247,6529873,2.80E+07,4735375,0,901000,4297820
248,3661408,4.60E+07,72000,1700000,3659247,0
249,10695493,1.00E+07,11517282,0,0,10722440
250,21846121,3.00E+07,21239836,0,9500,21385792
251,217218,1.00E+07,105500,0,127001,157224
252,8843578,2.80E+07,1827223,0,3499000,0
253,1911168,1.30E+07,1302709,0,1315881,0
254,6594681,5.00E+06,6276671,0,0,6298129
255,20723309,2.00E+07,16210462,0,1229000,20950666
256,5816002,5.00E+06,4968335,0,0,4512133
257,12059414,1.20E+07,7875061,0,58330,7999527
258,1516908,6.00E+06,1200091,0,0,0
259,857585,5.00E+06,840655,0,0,0
260,24329989,7.00E+07,9991841,0,2559980,0
261,5441641,1.50E+07,2846461,0,1020580,0
262,3990177,5.00E+06,2383063,0,2433537,0
263,2760592,6.00E+06,265034,0,12002,0
264,12037786,2.00E+07,5890966,0,5610761,0
265,123429471,8.40E+07,95276374,0,0,123837458
266,323740,5.00E+06,305658,0,0,0
267,939900,1.00E+07,934654,0,246155,915899
268,26917620,2.80E+07,25971837,0,1.00E+06,26566272
269,339343,6.00E+06,245577,0,156761,0
270,23799376,2.90E+07,14641140,0,425900,20953584
271,23420406,2.50E+07,24318731,0,829335,22688808
272,5705768,1.00E+07,5003845,0,5.00E+05,0
273,1786441,7.00E+06,941522,0,1248000,1888922
274,4920014,5.00E+06,1043771,0,0,0
275,40317,4.50E+07,25028,0,0,36050
276,977576,1.90E+07,172636,0,766209,0
277,218049,2.20E+07,94300,0,136869,0
278,3097046,3.00E+06,1291595,0,1026248,3089035
279,13151126,2.00E+07,13001126,0,149000,13143288
280,1855037,5.00E+06,1426640,0,345711,2645185
281,2246730,6.30E+07,1640915,0,970000,0
282,5950202,7.00E+06,5679522,0,0,5876666
283,435782,6.00E+06,428000,0,1618,429035
284,18375092,1.80E+07,17418796,0,0,18012560
285,917687,1.30E+07,526300,0,308697,577542
286,6019383,8.00E+06,5878594,0,23945,5900707
287,162991168,8.40E+07,138402740,0,0,152146419
288,7029282,1.00E+07,2329429,0,2218159,0
289,3513243,2.10E+07,1086378,0,212982,0
290,244518,6.00E+06,284864,0,0,189238
291,1005835,5.00E+06,975139,0,0,0
292,12538203,2.00E+07,12223090,0,608297,12768340
293,8615185,2.00E+07,8221109,0,81736,8584844
294,858220,3.00E+06,426688,0,422684,0
295,72918,6.00E+06,81829,0,14000,137495
296,22779651,7.50E+07,11705866,0,16218125,0
297,5186759,1.00E+07,3114544,0,1863253,4810773
298,4110330,5.00E+06,3983095,0,0,4095315
299,8482522,7.00E+06,8323101,0,883997,0
300,10789065,1.00E+07,7175457,0,0,10220726
301,8101572,9.00E+06,7111742,0,444950,7960933
302,718549,7.00E+06,367708,0,367997,0
303,8661640,1.50E+07,7229185,0,440500,8216104
304,90472,3.00E+06,98126,0,0,116234
305,14864199,1.80E+07,14225936,0,1555417,13947701
306,26591217,2.50E+07,20747494,0,1039515,26562496
307,2129421,3.00E+06,312840,0,746480,0
308,4602158,1.00E+07,2395495,0,2.00E+06,0
309,86074493,6.80E+07,13750563,0,8812251,0
310,6286650,1.70E+07,871749,0,24722,5746486
311,696721,2.50E+07,465541,0,307579,0
312,23120,5.00E+06,24395,0,0,68575
313,1599332,9.00E+06,1593982,0,0,0
314,95739125,1.11E+08,4278167,0,47644386,66244835
315,3439066,3.00E+06,1946124,0,1364838,3402674
316,136453,6.50E+07,128750,0,0,0
317,892092,3.00E+06,862592,0,0,815960
318,1787399,5.00E+06,941522,0,938518,0
319,3042353,3.00E+06,2955880,0,0,3048420
320,4952932,5.00E+06,4615765,0,2.00E+05,4937197
321,2419815,3.00E+06,1030233,0,152000,2403192
322,12353864,7.00E+07,10373284,0,568175,11908568
323,6990013,7500000,7332678,0,30540,6899502
324,12755921,1.50E+07,9061234,0,8584279,5972084
325,3606876,6.00E+06,3629895,0,196435,0
326,22505495,2.00E+07,22310578,0,0,22166040
327,22251430,2.00E+07,19277169,0,13808704,0
328,469442,2.00E+07,482665,0,418570,418733
329,2932430,3.00E+06,2464680,3.00E+05,0,2598097
330,8013937,2.00E+07,7881194,2.00E+06,695200,8164925
331,21497881,6.00E+07,6586364,0,8074863,0
332,1069925,7.00E+06,575817,0,5.00E+05,0
333,2743213,3.00E+06,2744007,0,15000,2613474
334,8361334,8.00E+06,8330276,0,60000,8351787
335,6561491,5.00E+06,6521875,0,0,6494255
336,2903683,3.00E+06,2773777,0,138860,2876480
337,6925858,2.00E+07,4708909,0,3779400,8128301
338,1140956,2.40E+07,1081221,0,0,1060411
339,304678,1.20E+07,280890,0,20879,314349
340,36713758,8.10E+07,7866386,0,1.00E+05,28840075
341,2689856,3.00E+06,802981,0,0,1251795
